LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID9303,9303,79,281.0,428.11387900355874,260.0782918149466,0.0,146.0,146,9.45754080179648,1,,255.0,255.0,255.0,255.0,71655.0,0.0,1.0,Infinity,-0.03398040620402995,0.07328658326653255,11.369857483772034,8.062126402408905,-0.3713816892706953,1.4102802308302684,281.0,84.0,0.5004464487861292,0.9006410256410257,5.011019884683906
ID8920,8920,79,230.0,70.36521739130434,352.2086956521739,0.0,115.0,115,8.556358677747903,1,,255.0,255.0,255.0,255.0,58650.0,0.0,1.0,Infinity,-0.11862585492317396,-0.031069704606181164,10.98257696894572,6.961638140754148,-0.17584362745699966,1.5775851526456943,230.0,78.0,0.475060033087214,0.8914728682170543,5.143167692487139
ID9241,9241,79,307.0,411.37459283387625,260.7035830618893,0.0,144.0,144,9.885400096021595,1,,255.0,255.0,255.0,255.0,78285.0,0.0,1.0,Infinity,0.028877919853819295,-0.013063358994706039,14.66380955530456,6.750454525526497,0.019697864515590448,2.172269956023571,307.0,92.0,0.4557981780019218,0.893740902474527,5.250717338925217
ID9049,9049,79,336.0,153.83928571428572,347.9791666666667,0.0,122.0,122,10.34176589165282,1,,255.0,255.0,255.0,255.0,85680.0,0.0,1.0,Infinity,-0.0059313265729957,0.005108052291781374,13.42722365333883,7.99579545029269,0.31120637188142386,1.6792855366062822,335.99999999999994,92.0,0.49885403194998595,0.9105691056910568,5.019011475427825
ID8730,8730,79,270.0,13.833333333333334,353.9037037037037,0.0,108.0,108,9.27058084855655,1,,255.0,255.0,255.0,255.0,68850.0,0.0,0.9239904988123515,Infinity,0.04601325526923186,-0.01112143539024127,11.846758716334925,7.2089453043463765,0.4254302376731723,1.6433414620571951,269.99999999999994,82.0,0.5045984630988959,0.9152542372881354,4.990361079491514
ID10782,10782,79,-1.0,94.1938775510204,354.32993197278915,0.0,117.0,117,5.0,1,,241.8556701030928,255.0,0.0,255.0,23460.0,56.67579393847688,0.2929547182673904,1.9337745411294545,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID9248,9248,79,383.0,398.57963446475196,258.0104438642298,0.0,142.0,142,11.041407809169622,1,,255.0,255.0,255.0,255.0,97665.0,0.0,1.0,Infinity,0.5037778111308138,-0.11574177536903828,15.728135903314918,8.126315199472947,2.902635341545248,1.9354572788826856,383.0000000000002,102.0,0.46260283980195754,0.909738717339668,5.211956529137478
ID9185,9185,79,335.0,271.3820895522388,305.7582089552239,0.0,130.0,130,10.32636489145962,1,,255.0,255.0,255.0,255.0,85425.0,0.0,1.0,Infinity,0.9051870823421129,-0.08796066583662936,12.073583470979337,9.569171624069842,2.618791108448432,1.2617166819968006,335.0,86.0,0.5691906646579669,0.9344490934449095,4.698681936490116
ID10786,10786,79,-1.0,113.24149659863946,354.32993197278915,0.0,119.0,119,5.0,1,,249.7422680412371,255.0,0.0,255.0,24225.0,36.424659215551706,0.23379612803178987,2.5984864785979016,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID8802,8802,79,431.0,17.422273781902554,350.2366589327146,0.0,109.0,109,11.712880130233286,1,,255.0,255.0,255.0,255.0,109905.0,0.0,0.9385307346326838,Infinity,-0.46659905043589384,0.05040852555576903,12.711446954329068,10.595368297404637,2.6529105353543274,1.19971732907508,430.9999999999998,110.0,0.44761204419742157,0.8813905930470343,5.298513559449971
ID9189,9189,79,429.0,349.6270396270396,271.6759906759907,0.0,136.0,136,11.685672474138842,1,,255.0,255.0,255.0,255.0,109395.0,0.0,1.0,Infinity,0.08412329742507994,-0.07251357647446582,16.687804630750144,8.279593083513422,1.9235116636226703,2.015534394314548,429.0,104.0,0.4984257575406883,0.9225806451612901,5.021167315686783
ID8933,8933,79,191.0,128.12565445026178,351.0157068062827,0.0,120.0,120,7.797255174810172,1,,255.0,255.0,255.0,255.0,48705.0,0.0,1.0,Infinity,-0.04868179057639106,0.1141760653096271,10.72839299128197,5.887874757147285,-0.01606443934278517,1.8221163719997244,191.0,68.0,0.5190693744253032,0.9073634204275535,4.920307315988467
ID8870,8870,79,194.0,7.536082474226804,353.27319587628864,0.0,107.0,107,7.85825158159596,1,,255.0,255.0,255.0,255.0,49470.0,0.0,0.7042459736456809,Infinity,-0.3857295461242936,0.023761474137562764,10.346593254511452,6.633337293719823,0.3863952619398762,1.5597869965555937,194.00000000000003,72.0,0.47026927067624996,0.8858447488584478,5.1692987420477134
ID9255,9255,79,285.0,393.0175438596491,259.26666666666665,0.0,141.0,141,9.52461639974967,1,,255.0,255.0,255.0,255.0,72675.0,0.0,1.0,Infinity,0.3672485916856543,-0.22271511125280277,11.669288623082686,8.438630680155473,-0.446015375797738,1.3828414899735475,285.0,82.0,0.5326317110488346,0.8976377952755905,4.857260797624557
