,id,frame,row,col,t,state,generation,root,parent,dummy,area,solidity,axis_major_length,eccentricity,orientation,axis_minor_length
1781,109.0,259.0,334.52777777777777,426.77777777777777,259,5,0,109,109,False,36.0,0.8780487804878049,9.797433888947047,0.862748853173218,-1.212641077244373,4.9539028441465005
1782,109.0,260.0,335.06382978723406,417.70212765957444,260,5,0,109,109,False,47.0,0.8867924528301887,13.1373949124431,0.9308925409728868,-1.4859290105316703,4.799000221543523
1783,109.0,261.0,333.62068965517244,408.44827586206895,261,5,0,109,109,False,29.0,0.9354838709677419,8.949821623036096,0.8875312708205586,1.5626547062694545,4.123607788296265
1784,109.0,262.0,333.09375,399.21875,262,5,0,109,109,False,32.0,0.8421052631578947,8.830907276126016,0.8311755068207862,-1.3226274517392922,4.910073999489679
1785,109.0,263.0,331.969696969697,392.1212121212121,263,5,0,109,109,False,66.0,0.9166666666666666,11.954422934253504,0.7527447081152686,-0.6723047327228472,7.869746563156549
1786,109.0,264.0,331.7008547008547,386.2735042735043,264,5,0,109,109,False,117.0,0.8540145985401459,19.127339575040043,0.8802312447315039,-1.0090858875307773,9.076783333917833
1787,109.0,265.0,333.7450980392157,375.5098039215686,265,5,0,109,109,False,51.0,0.8360655737704918,11.920899060500467,0.8708294378612941,-1.397410570076417,5.860138534535979
1788,109.0,266.0,331.8985507246377,366.18840579710144,266,5,0,109,109,False,69.0,0.8961038961038961,14.22789389047178,0.8754967493141801,-1.4582410632916027,6.8752599116341795
1789,109.0,267.0,327.42857142857144,359.10714285714283,267,5,0,109,109,False,56.0,0.8615384615384616,10.674029602629185,0.6983403728657323,-0.5379672686146207,7.640105659686615
1790,109.0,268.0,326.3695652173913,351.9347826086956,268,5,0,109,109,False,46.0,0.7931034482758621,11.291504406699119,0.8350318537532168,-1.0754363493001096,6.212603817394644
1791,109.0,269.0,326.75824175824175,340.5164835164835,269,5,0,109,109,False,91.0,0.8504672897196262,14.90134789547543,0.7911176522281312,-0.9732632749604151,9.114618198452686
1792,109.0,270.0,322.03225806451616,333.38709677419354,270,5,0,109,109,False,31.0,0.9393939393939394,8.368618403258502,0.8281383971599251,1.3532366414416286,4.690808778749235
1793,110.0,231.0,313.34381139489193,413.57170923379175,231,5,0,110,110,False,509.0,0.9496268656716418,40.46797524050005,0.912697362195188,-1.0596954275707575,16.536678687700967
1794,111.0,233.0,261.0,265.8,233,5,0,111,111,False,10.0,1.0,3.919183588453085,0.6123724356957945,1.5707963267948966,3.0983866769659336
1795,111.0,234.0,262.1111111111111,260.6666666666667,234,5,0,111,111,False,9.0,1.0,3.885753375057407,0.6945875203623408,1.2164831907310614,2.7954428906961324
1796,111.0,235.0,263.4,255.8,235,5,0,111,111,False,5.0,1.0,3.098386676965933,0.816496580927726,-1.2490457723982544,1.7888543819998317
1797,111.0,236.0,265.85714285714283,249.85714285714286,236,5,0,111,111,False,21.0,1.0,6.110100926607786,0.712241974147557,-0.7853981633974483,4.288887713980078
1798,111.0,237.0,268.2,244.4857142857143,237,5,0,111,111,False,35.0,0.9722222222222222,7.617951299906912,0.6247693961584084,-1.209103191305788,5.948167410494344
1799,111.0,238.0,271.3,238.25,238,5,0,111,111,False,20.0,0.9090909090909091,6.476294141094407,0.7922381293558707,-1.0314940931667191,3.9519127265194327
1800,111.0,239.0,274.84615384615387,231.53846153846155,239,5,0,111,111,False,26.0,0.9629629629629629,6.510418041618965,0.6365315537797905,-1.2722079977485579,5.021164213552168
1801,111.0,240.0,278.4166666666667,225.0625,240,5,0,111,111,False,48.0,0.9411764705882353,9.143802240013637,0.6475449836413998,-1.5589103158193416,6.96782626202346
1802,111.0,241.0,280.6885245901639,217.72131147540983,241,5,0,111,111,False,61.0,0.7922077922077922,13.281047532016805,0.8688080688318178,0.9120233220509997,6.576097502757576
1803,111.0,242.0,284.76,211.4,242,5,0,111,111,False,25.0,0.9259259259259259,6.436869283709396,0.6448295245081235,1.4042821909273777,4.919869289365164
1804,111.0,243.0,287.2162162162162,205.3783783783784,243,5,0,111,111,False,37.0,0.9487179487179487,8.23184880969463,0.7164359899488395,-1.5704603053401074,5.742972624699435
1805,111.0,244.0,290.29411764705884,199.35294117647058,244,5,0,111,111,False,17.0,0.9444444444444444,5.661053382547679,0.740856246987765,-1.4758021828355388,3.8023236200202857
1806,111.0,245.0,291.6666666666667,194.0,245,5,0,111,111,False,18.0,1.0,5.333333333333333,0.6123724356957945,1.5707963267948966,4.216370213557839
1807,111.0,246.0,293.77777777777777,189.38888888888889,246,5,0,111,111,False,18.0,0.9,5.215434648283276,0.505285786348938,1.3660161835705975,4.500670122653192
1808,111.0,247.0,294.75,186.0,247,5,0,111,111,False,4.0,1.0,2.8284271247461903,0.7905694150420949,1.5707963267948966,1.7320508075688772
1809,111.0,248.0,297.0480617654506,181.13135601787673,248,5,0,111,111,True,7.5,1.0,3.3211387408642796,0.530124680013696,1.1780972450961724,2.70229902894118
1810,111.0,249.0,297.1818181818182,179.8181818181818,249,5,0,111,111,False,11.0,1.0,3.8138503569823694,0.26967994498529707,0.7853981633974483,3.6725472503134826
1811,111.0,250.0,297.5,178.5,250,5,0,111,111,False,4.0,1.0,2.0,0.0,-0.7853981633974483,2.0
1812,111.0,251.0,297.75,177.0,251,5,0,111,111,False,4.0,1.0,2.8284271247461903,0.7905694150420949,1.5707963267948966,1.7320508075688772
1813,111.0,252.0,298.6666666666667,176.33333333333334,252,5,0,111,111,False,3.0,1.0,2.3094010767585034,0.816496580927726,0.7853981633974483,1.3333333333333333
1814,111.0,253.0,299.6666666666667,175.33333333333334,253,5,0,111,111,False,3.0,1.0,2.3094010767585034,0.816496580927726,0.7853981633974483,1.3333333333333333
1815,111.0,254.0,301.5,174.5,254,5,0,111,111,False,12.0,1.0,3.8297084310253524,0.0,-0.7853981633974483,3.8297084310253524
1816,111.0,255.0,303.3,174.7,255,5,0,111,111,False,10.0,1.0,4.0,0.6164414002968978,0.7853981633974483,3.149603149604724
1817,111.0,256.0,305.6,175.2,256,5,0,111,111,False,5.0,1.0,3.098386676965933,0.816496580927726,-1.2490457723982544,1.7888543819998317
1818,111.0,257.0,307.1666666666667,176.16666666666666,257,5,0,111,111,False,6.0,1.0,3.1269438398822857,0.674199862463242,0.7853981633974484,2.309401076758503
1819,111.0,258.0,309.2164213469061,176.04239781802886,258,5,0,111,111,True,7.0,1.0,3.2955227275100203,0.6432861490795183,1.1102230246251565e-16,2.524006932142167
1820,111.0,259.0,311.125,179.125,259,5,0,111,111,False,8.0,1.0,3.4641016151377544,0.6123724356957945,-0.7853981633974483,2.7386127875258306
1821,111.0,260.0,313.0,180.35294117647058,260,5,0,111,111,False,17.0,1.0,4.752708206288037,0.2970442628930025,0.0,4.538188593408449
1822,111.0,261.0,314.0,181.0,261,5,0,111,111,False,11.0,1.0,4.51260859854213,0.7559289460184544,1.5707963267948966,2.9541957835039856
1823,111.0,262.0,315.3125,181.1875,262,5,0,111,111,False,16.0,0.9411764705882353,5.149449337222181,0.6487019053158465,-1.4863803757893361,3.918950308868696
1824,111.0,263.0,317.0,180.73529411764707,263,5,0,111,111,False,34.0,1.0,7.062744009319357,0.5082559240684966,0.0,6.082478096334383
1825,111.0,264.0,319.73333333333335,179.61666666666667,264,5,0,111,111,False,60.0,0.9523809523809523,10.917060295356128,0.7448359047844556,0.1938355670597352,7.284383223856584
1826,111.0,265.0,325.3243243243243,176.6216216216216,265,5,0,111,111,False,37.0,0.925,8.784371970322837,0.792517717422512,-0.4164095277059522,5.357139487793967
1827,111.0,266.0,332.1,169.98333333333332,266,5,0,111,111,False,60.0,0.9375,11.790763343266383,0.835913904036362,-0.6909310689911966,6.471485301328276
1828,111.0,267.0,339.9431818181818,160.04545454545453,267,5,0,111,111,False,88.0,0.8073394495412844,14.562098169280747,0.8030140662056708,-0.7100551334847226,8.678429098573897
1829,111.0,268.0,347.2758620689655,147.19540229885058,268,5,0,111,111,False,87.0,0.925531914893617,16.18838689250885,0.8994772488338334,-1.0302607056668711,7.073800482722562
1830,111.0,269.0,356.0,131.08396946564886,269,5,0,111,111,False,131.0,0.903448275862069,19.889326366100295,0.8962461149713399,-1.0823966623444403,8.822051933729348
1831,111.0,270.0,364.92537313432837,111.31343283582089,270,5,0,111,111,False,67.0,0.9571428571428572,14.393299190589019,0.9110081485487526,-1.2198492423056115,5.9356289402485025
1832,111.0,271.0,373.15384615384613,90.56410256410257,271,5,0,111,111,False,39.0,0.9069767441860465,11.059199451042325,0.9112908392174344,-1.1434296635531394,4.553772342223556
1833,111.0,272.0,381.0217391304348,69.1086956521739,272,5,0,111,111,False,46.0,0.92,12.239637330146275,0.9167396944514209,-1.2677163214235634,4.889552551231401
1834,111.0,273.0,386.56666666666666,48.43888888888889,273,5,0,111,111,False,180.0,0.9090909090909091,21.824025177656413,0.8520422146123817,-1.452796026796443,11.424289657603293
1835,112.0,234.0,239.0,516.0,234,5,0,112,112,False,1.0,1.0,0.0,0.0,-0.7853981633974483,0.0
1836,113.0,234.0,356.0,391.0,234,5,0,113,113,False,3.0,1.0,3.265986323710904,1.0,1.5707963267948966,0.0
1837,113.0,235.0,358.45454545454544,375.27272727272725,235,5,0,113,113,False,11.0,1.0,6.410747983365109,0.9518683762700559,-1.5174284904703288,1.9649396885733192
1838,113.0,236.0,358.68,359.44,236,5,0,113,113,False,25.0,0.9259259259259259,8.167784342918264,0.880843499670586,1.539617772663788,3.866690953202655
