LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7840,7840,70,310,473.5032258,236.4290323,0,148,148,9.933582673,1,,255,255,255,255,79050,0,1,Infinity,-0.268987687,-0.102894566,13.04230358,7.601848416,2.833319355,1.715675303,310,88,0.503044278,0.926756353,4.998064141
ID7972,7972,70,188,391.2819149,300.287234,0,167,167,7.735777828,1,,255,255,255,255,47940,0,1,Infinity,0.033948317,-0.014301811,8.598918958,7.049918684,0.103272452,1.219718885,188,66,0.542350247,0.903846154,4.813544719
ID7845,7845,70,250,460.372,243.236,0,149,149,8.920620581,1,,255,255,255,255,63750,0,1,Infinity,0.120444684,-0.234384807,9.641329141,8.373242468,2.936362348,1.151445116,250,76,0.543904545,0.915750916,4.806662043
ID7975,7975,70,141,398.1631206,302.3687943,0,166,166,6.699380117,1,,255,255,255,255,35955,0,1,Infinity,-0.011148119,0.157155845,7.151716165,6.499443815,0.685503116,1.10035818,141,54,0.607633147,0.927631579,4.547620374
ID7847,7847,70,382,507.3403141,224.8350785,0,146,146,11.02698402,1,,255,255,255,255,97410,0,0.996515679,Infinity,-0.232410867,-0.053159953,13.70112542,9.180746636,3.001296255,1.492375943,382,94,0.543272247,0.920481928,4.809458395
ID8105,8105,70,94,258.2765957,286.5851064,0,186,186,5.47002096,1,,255,255,255,255,23970,0,0.861386139,Infinity,-0.059596481,0.02575259,7.245682391,4.289906902,-0.062011134,1.689006907,94,48,0.512690468,0.886792453,4.950821982
ID7979,7979,70,243,376.872428,294.0823045,0,169,169,8.794845214,1,,255,255,255,255,61965,0,0.978290366,Infinity,-0.031403275,0.170195448,11.5016743,6.946437386,0.389021963,1.655765921,243,82,0.454138617,0.877256318,5.260302453
ID8370,8370,70,-1,314,276.5,0,192,192,3.999999985,1,,0,0,0,0,0,0,NaN,NaN,0,0,3.999999985,3.999999985,0,1,50.26548208,25.13274114,1,1,3.544907702
ID7989,7989,70,293,385.6723549,297.7133106,0,168,168,9.657370069,1,,255,255,255,255,74715,0,1,Infinity,-0.120777122,0.252896741,12.30526007,7.458265992,0.385412059,1.649882169,293,92,0.435012593,0.898773006,5.374697388
ID8374,8374,70,-1,327,277,0,193,193,3.999999985,1,,108.6885246,0,0,255,6630,127.1511621,0.829302419,0.775034042,0,0,3.999999985,3.999999985,0,1,50.26548208,25.13274114,1,1,3.544907702
